                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.465,                 2.4418,                 1.4823,                0.51278,                0.22842,                0.33598,                0.16199,                 1.5382,                 3.0413,                 1.5335,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4641,                  1.983,                 1.4944,                0.47081,                0.46947,                0.44011,                0.22973,                 1.5511,                 2.5151,                 1.6465,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.5499,                 1.8845,                 1.5314,                0.39246,                0.36842,                0.30038,                  0.123,                 2.0437,                 3.4954,                 2.2138,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.5185,                  1.741,                 1.5294,                 0.4804,                0.54526,                0.50163,                0.23074,                 1.7374,                 1.9811,                 1.8262,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4949,                 1.5826,                 1.4928,                0.58044,                0.59707,                0.61358,                0.31559,                 1.5284,                 1.8483,                 1.6418,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4596,                 1.5032,                 1.4691,                0.65387,                0.55895,                0.59391,                0.32857,                 1.4693,                 1.6886,                 1.5122,               0.001802,               0.001802,               0.001802
                      7,                 1.4073,                 1.4001,                  1.439,                0.68985,                0.61895,                0.67916,                0.40067,                 1.3183,                 1.8457,                 1.4369,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3812,                 1.3602,                 1.4264,                0.64921,                0.70947,                0.69113,                0.40754,                 1.3623,                 1.3579,                  1.447,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3455,                 1.3374,                 1.4053,                0.59905,                0.62123,                0.58552,                 0.3752,                 1.2569,                 1.7359,                 1.3949,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3064,                 1.2831,                 1.3916,                 0.7537,                0.71474,                0.80626,                0.50781,                 1.1985,                 1.2906,                 1.3173,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3205,                 1.2979,                 1.3858,                0.76213,                 0.6408,                0.73353,                0.45608,                 1.2629,                 1.2873,                 1.3775,               0.001604,               0.001604,               0.001604
                     12,                 1.3358,                 1.2637,                 1.4052,                0.79213,                0.72105,                0.79422,                0.48666,                 1.2179,                 1.1757,                 1.3254,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2913,                 1.1683,                 1.3525,                0.71499,                0.68923,                0.75212,                0.46559,                  1.236,                 1.2356,                 1.3433,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.281,                   1.17,                 1.3487,                 0.7815,                0.71533,                0.77987,                0.47998,                 1.2564,                 1.3797,                 1.3767,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2267,                 1.1111,                 1.3206,                0.80901,                0.70451,                0.81359,                0.52573,                  1.179,                 1.0572,                 1.3048,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2454,                  1.134,                 1.3357,                0.77736,                0.68421,                 0.7475,                0.44978,                 1.3275,                 1.2856,                 1.4213,               0.001406,               0.001406,               0.001406
                     17,                 1.2122,                 1.0941,                 1.3109,                0.86212,                0.73059,                0.83666,                0.50762,                  1.268,                 1.1114,                 1.3909,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2052,                 1.0636,                 1.2972,                0.79814,                0.75368,                0.83879,                0.56111,                 1.1189,                 1.0565,                 1.2818,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2102,                 1.0688,                 1.3096,                0.80752,                0.77285,                0.85547,                0.55176,                 1.1633,                0.97512,                 1.2601,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1713,                 1.0284,                   1.28,                0.83226,                0.74211,                0.82829,                0.54624,                 1.1735,                 1.0398,                 1.2989,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1657,                 0.9849,                 1.2727,                0.75835,                0.71683,                0.79302,                0.52304,                 1.1498,                 1.2505,                  1.282,               0.001208,               0.001208,               0.001208
                     22,                  1.163,                0.99859,                 1.2795,                0.85461,                0.77158,                0.85013,                0.58871,                 1.0663,                 1.0076,                 1.2428,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1169,                0.95877,                  1.264,                0.84967,                0.71789,                0.82948,                 0.5621,                 1.0979,                 1.0637,                 1.2404,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1426,                0.98449,                 1.2795,                0.81082,                0.76696,                0.84556,                0.54395,                 1.2145,                 1.0014,                 1.3392,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1099,                 0.9942,                  1.246,                0.82649,                0.75368,                0.84758,                0.57078,                 1.0944,                 1.1716,                 1.2684,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0968,                0.94545,                 1.2319,                0.78071,                0.79073,                0.85163,                0.58111,                 1.0903,                0.97553,                 1.2389,                0.00101,                0.00101,                0.00101
                     27,                 1.1151,                 0.9515,                 1.2448,                0.87743,                0.73094,                 0.8511,                0.58886,                 1.0935,                0.98652,                 1.2528,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0764,                0.92417,                 1.2137,                 0.8438,                0.75789,                0.84226,                0.58425,                 1.0117,                 0.9516,                 1.1938,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.0675,                0.87935,                 1.2118,                0.87593,                0.78947,                0.85857,                 0.5972,                 1.1121,                0.91194,                 1.2378,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0829,                0.89437,                 1.2405,                0.90238,                0.77263,                0.88271,                0.62621,                  1.022,                0.85111,                 1.1962,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0557,                0.85453,                    1.2,                0.87379,                0.77474,                0.87208,                0.60791,                 1.0483,                0.87953,                 1.2069,               0.000812,               0.000812,               0.000812
                     32,                 1.0697,                0.86707,                 1.2123,                0.85991,                0.76947,                0.86326,                0.58502,                  1.126,                0.90964,                 1.2885,              0.0007724,              0.0007724,              0.0007724
                     33,                  1.037,                0.85292,                 1.2039,                0.84619,                0.78842,                0.85519,                0.59386,                 1.0766,                0.94033,                 1.2658,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0547,                0.85122,                 1.2071,                 0.8706,                0.78421,                0.86726,                0.60323,                 1.0815,                0.96621,                 1.2548,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0056,                0.82419,                 1.1755,                 0.8854,                 0.7807,                0.87355,                 0.6177,                 1.0449,                0.86092,                 1.2156,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0099,                 0.8117,                 1.1836,                0.86682,                0.78106,                0.88129,                0.62622,                 1.0341,                0.85861,                   1.21,               0.000614,               0.000614,               0.000614
                     37,                0.99381,                0.80724,                 1.1692,                0.88207,                0.79158,                0.87912,                0.61187,                  1.078,                0.85917,                 1.2393,              0.0005744,              0.0005744,              0.0005744
                     38,                0.96973,                 0.7492,                 1.1666,                0.87255,                0.78554,                0.87368,                0.61446,                 1.0278,                0.85035,                 1.2133,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.9645,                0.77034,                 1.1703,                0.89232,                0.77158,                0.90412,                0.63504,                 1.0454,                0.78703,                 1.2099,              0.0004952,              0.0004952,              0.0004952
                     40,                0.96191,                0.74121,                 1.1477,                0.88971,                0.77579,                0.89345,                0.63577,                 1.0249,                0.80479,                  1.202,              0.0004556,              0.0004556,              0.0004556
                     41,                0.89086,                0.64229,                 1.1044,                0.89298,                0.79928,                0.89451,                0.65006,                0.98613,                0.81739,                 1.1719,               0.000416,               0.000416,               0.000416
                     42,                0.87388,                0.61985,                 1.0928,                 0.8811,                0.77895,                0.86463,                0.60998,                 1.0633,                0.88415,                 1.2454,              0.0003764,              0.0003764,              0.0003764
                     43,                0.85341,                0.59487,                 1.0742,                0.88765,                0.79579,                0.88705,                0.62264,                 1.0393,                0.86392,                 1.2097,              0.0003368,              0.0003368,              0.0003368
                     44,                0.85079,                0.59168,                 1.0741,                0.87818,                0.79684,                0.89095,                0.63631,                 1.0057,                0.79304,                 1.1824,              0.0002972,              0.0002972,              0.0002972
                     45,                0.84148,                0.58807,                 1.0706,                0.89428,                0.78947,                0.89861,                0.64483,                 1.0042,                0.80389,                 1.1947,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.8369,                0.57248,                 1.0601,                0.90426,                0.81521,                0.91832,                0.66766,                0.97553,                 0.7245,                 1.1558,               0.000218,               0.000218,               0.000218
                     47,                0.82345,                0.55209,                 1.0605,                0.88415,                0.79529,                0.89648,                0.64115,                0.99954,                0.80781,                 1.1869,              0.0001784,              0.0001784,              0.0001784
                     48,                0.81828,                 0.5413,                 1.0542,                0.90605,                0.80194,                0.89767,                0.65356,                0.99628,                0.75239,                 1.1803,              0.0001388,              0.0001388,              0.0001388
                     49,                0.79108,                0.52017,                  1.041,                0.88271,                0.81579,                0.89052,                0.64924,                 1.0024,                0.77646,                 1.1935,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.78322,                0.51518,                 1.0312,                0.88928,                0.81161,                0.89627,                0.65473,                0.99875,                0.76198,                 1.1939,               5.96e-05,               5.96e-05,               5.96e-05
